CSE Marine Diagnostic Report
Customer: Greg Miedema
Dealer: CSE Testing
Expected Mode: Mode 4
Submitted: 7/27/2026, 9:33:44 AM
Cap: CSE_Marine_38DA

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,PumpFailCount,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.90 V,33
Charge,87%,
Panel,0.14 V,
Pressure,1.020 PSI,33
Time,00:04:10,
Mode,Mode 4 (target 3.3 PSI),4
Day High,2.248 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 00s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),1.020 PSI (raw 33)
After (pumping),1.649 PSI (raw 47)
Head Pressure (delta),0.629 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,PASS,0.629 PSI delta
Pump Battery Fault,PASS,3.90 V (87% est.)
Chamber Pressure,FAIL,1.02 PSI vs 1.56 PSI avg of other healthy cap(s)
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 4; expected Mode 4
Triage Category,other,
Inconclusive,false,
Inconclusive Reasons,Charging status unavailable; No activity log days to evaluate pump run time; No activity log available for Battery Log Fault check; Not enough data to check pressure target vs. mode,
