CSE Marine Diagnostic Report
Customer: Steve Lewis
Dealer: Online
Expected Mode: Mode 4
Submitted: 7/24/2026, 1:13:07 PM
Cap: CSE_Marine_1042

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,PumpFailCount,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.82 V,39
Charge,77%,
Panel,4.22 V,
Pressure,1.289 PSI,39
Time,00:04:10,
Mode,Mode 4 (target 3.3 PSI),4
Day High,2.473 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 10s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),1.289 PSI (raw 39)
After (pumping),1.784 PSI (raw 50)
Head Pressure (delta),0.495 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,PASS,0.495 PSI delta
Pump Battery Fault,PASS,3.82 V (77% est.)
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 4; expected Mode 4
Triage Category,none - all checks passed,
Inconclusive,true,
Inconclusive Reasons,Charging status unavailable; No activity log days to evaluate pump run time; No activity log available for Battery Log Fault check; Not enough data to check pressure target vs. mode; No other cap passed every other check yet; so there is nothing healthy to compare chamber pressure against,
