CSE Marine Diagnostic Report
Customer: Troy Bouman
Dealer: Coral Gables Yachts, Inc. – Holland, MI
Expected Mode: Mode 1
Submitted: 9/1/2026, 3:05:11 PM
Cap: CSE_Marine_A925

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 1
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,PumpFailKnt,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.70 V,28
Charge,63%,
Panel,3.62 V,
Pressure,0.795 PSI,28
Time,00:01:20,
Mode,Mode 1 (target 2.0 PSI),1
Day High,2.023 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 10s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),0.795 PSI (raw 28)
After (pumping),1.514 PSI (raw 44)
Head Pressure (delta),0.719 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,PASS,0.719 PSI delta
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 1; expected Mode 1
Triage Category,none - all checks passed,
Battery Warning,none,
Data Gaps,Charging status unavailable; No activity log days to evaluate pump run time; No activity log available for Battery Log Fault check,
