CSE Marine Diagnostic Report
Customer: Greg Miedema
Dealer: CSE Testing
Expected Mode: Mode 4
Submitted: 7/27/2026, 9:33:44 AM
Cap: CSE_Marine_90BC

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,PumpFailCount,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.90 V,57
Charge,87%,
Panel,0.54 V,
Pressure,2.099 PSI,57
Time,00:04:00,
Mode,Mode 4 (target 3.3 PSI),4
Day High,3.147 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 00s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),2.099 PSI (raw 57)
After (pumping),2.503 PSI (raw 66)
Head Pressure (delta),0.405 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,PASS,0.405 PSI delta
Pump Battery Fault,PASS,3.90 V (87% est.)
Chamber Pressure,FAIL,2.10 PSI vs 1.02 PSI avg of other healthy cap(s)
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 4; expected Mode 4
Triage Category,other,
Inconclusive,false,
Inconclusive Reasons,Charging status unavailable; No activity log days to evaluate pump run time; No activity log available for Battery Log Fault check; Not enough data to check pressure target vs. mode,
